,type,freq,load,K,S,mean_ad,median_ad
0,0.0,30.0,0.0,-1.471643975791028,0.04997685002309813,0.7352250466492783,0.8256530799999999
1,1.0,30.0,0.0,-1.3445546994579054,0.07062991990937473,0.7535184571346967,0.8283996600000001
2,2.0,30.0,0.0,-1.333644484760792,-0.055507408768767474,0.7169917982747589,0.7826232900000001
3,3.0,30.0,50.0,-1.4795507914776964,0.015604192221352281,0.9276477450043269,1.04324341
4,4.0,30.0,50.0,-1.4195392427949118,0.05665246492062327,0.9858086171206946,1.0829162600000002
5,5.0,30.0,50.0,-1.4229147702573746,-0.019530614012109503,0.8866091834700541,0.965805055
6,6.0,30.0,100.0,-1.4771326250987458,0.012615195290082726,1.0718520762936798,1.19766236
7,7.0,30.0,100.0,-1.4446733856572087,0.045690568145771764,1.1503970374686443,1.27304079
8,8.0,30.0,100.0,-1.4404945266080302,-0.015171548799512585,1.0204648150376576,1.11831664
9,9.0,35.0,0.0,-1.4666264277365872,0.03608638564988043,0.7413258303947036,0.83129878
10,10.0,35.0,0.0,-1.3341409735517584,0.07603715830133959,0.7626893396955827,0.83618166
11,11.0,35.0,0.0,-1.3241355517776872,-0.05701467558448681,0.7166037576430507,0.7852173
12,12.0,35.0,50.0,-1.48096897750249,0.014110003690164524,0.9420358698122969,1.0556793199999999
13,13.0,35.0,50.0,-1.4264674835255402,0.056387894318292955,1.0028959609550778,1.10015865
14,14.0,35.0,50.0,-1.4223204930402356,-0.01630804386136985,0.895601285880911,0.97557066
15,15.0,35.0,100.0,-1.4765187824033679,0.011982001612565232,1.1056771087075392,1.2287139649999999
16,16.0,35.0,100.0,-1.4456902437998786,0.04949913854784746,1.1903302402863303,1.3151550099999998
17,17.0,35.0,100.0,-1.4318026055585986,-0.01812772301768533,1.0476816298268241,1.1460113349999999
18,18.0,40.0,0.0,-1.4721506479332325,0.03428230045364208,0.7418449852356731,0.8325195299999999
19,19.0,40.0,0.0,-1.3915415074405564,0.052129608400434485,0.7690252198132759,0.8518982
20,20.0,40.0,0.0,-1.3560318120103545,-0.04674509823975438,0.7234644405725671,0.7949828800000001
21,21.0,40.0,50.0,-1.483040822083422,0.014456309349015936,0.9183395760831757,1.030044605
22,22.0,40.0,50.0,-1.4364326245235723,0.05777049458795168,0.9791683572116537,1.07635498
23,23.0,40.0,50.0,-1.4122454407097744,-0.02001863691718393,0.8744434835338083,0.9476471049999999
24,24.0,40.0,100.0,-1.4750133785091972,0.010806436202991522,1.1305542109530209,1.25488282
25,25.0,40.0,100.0,-1.4448012992897026,0.04892940153687614,1.2184836488655029,1.34292607
26,26.0,40.0,100.0,-1.4324391084027142,-0.014131255482551832,1.0726289316179405,1.1747742
27,27.0,45.0,0.0,-1.4677619860674074,0.03447281145551448,0.7489157982473776,0.840530395
28,28.0,45.0,0.0,-1.3489528063861635,0.07394117754708938,0.774314561766229,0.85639955
29,29.0,45.0,0.0,-1.3355488018912336,-0.05319429379058703,0.7305974074802413,0.79528809
30,30.0,45.0,50.0,-1.4814926429284871,0.014756298315785054,0.9358616800094551,1.04598999
31,31.0,45.0,50.0,-1.423313920093636,0.06767709479520162,0.9962240452597863,1.09603882
32,32.0,45.0,50.0,-1.409595965439169,-0.020421370642424358,0.89525717462521,0.97038269
33,33.0,45.0,100.0,-1.473331828185528,0.010504739277346496,1.1051954615321784,1.22970578
34,34.0,45.0,100.0,-1.4426206899829248,0.049509622605431236,1.1899532385865113,1.31256105
35,35.0,45.0,100.0,-1.4287026122265263,-0.013579191465101961,1.0530436088618227,1.1504363750000002
36,36.0,50.0,0.0,-1.4750495253810871,0.0304960331501303,0.7510348759988076,0.8418273599999999
37,37.0,50.0,0.0,-1.364700175683781,0.06693200381866989,0.7745901133450964,0.8619690299999999
38,38.0,50.0,0.0,-1.3329004812218703,-0.04816299727375938,0.7284927940934045,0.7943725500000001
39,39.0,50.0,50.0,-1.4850292141811543,0.008584234324959007,0.9451420135794686,1.0552215550000001
40,40.0,50.0,50.0,-1.4392369367623268,0.055573149076973936,1.0084615609422247,1.11053464
41,41.0,50.0,50.0,-1.4032697332031865,-0.01696655679279243,0.9013942502081443,0.97396851
42,42.0,50.0,100.0,-1.481930349167031,0.008594154027384797,1.0332366173403855,1.15188602
43,43.0,50.0,100.0,-1.4482868249917733,0.053368659189633315,1.1078359101359998,1.222381585
44,44.0,50.0,100.0,-1.4188398683731027,-0.017838161235527786,0.9858066277502614,1.07589723
45,45.0,55.0,0.0,-1.4890522802141077,0.029455852815228445,0.7629225454245159,0.8563232900000002
46,46.0,55.0,0.0,-1.4012465569286239,0.04607010855411658,0.7878484507361939,0.8739471449999999
47,47.0,55.0,0.0,-1.371249147937309,-0.03398747098562458,0.739976583416086,0.810775795
48,48.0,55.0,50.0,-1.4949036437192071,0.011900583423907898,0.9253403533184182,1.03698731
49,49.0,55.0,50.0,-1.4426810023922945,0.048569199319657995,0.9803016197767579,1.0925293
50,50.0,55.0,50.0,-1.4051283117739817,-0.01996043031902617,0.8874776685530221,0.96572876
51,51.0,55.0,100.0,-1.4816624797196092,0.010991661361678527,1.0332145530927614,1.1519623049999999
52,52.0,55.0,100.0,-1.444264359885117,0.04071858735990378,1.1085845532692544,1.2284851199999998
53,53.0,55.0,100.0,-1.4108826816986733,-0.015166001624582462,0.994046867380371,1.07803344
54,54.0,60.0,0.0,-1.5032161629756486,0.017720563940036183,0.7383734303292496,0.8077240050000001
55,55.0,60.0,0.0,-1.4271800565590658,0.021661890645855098,0.7708967826503644,0.8340454500000001
56,56.0,60.0,0.0,-1.3827668693349897,-0.021231010736179133,0.7167578161426997,0.76889038
57,57.0,60.0,50.0,-1.490842674712738,0.01111312351179187,0.9267265771033226,1.07360839
58,58.0,60.0,50.0,-1.4584083411918911,0.026253621881789084,0.9897015645559499,1.1457824699999999
59,59.0,60.0,50.0,-1.4285985692195893,-0.006988401201196603,0.8985165968827589,1.01989747
60,60.0,60.0,100.0,-1.47851841788333,0.010421151118390084,1.007376585688959,1.1566162100000001
61,61.0,60.0,100.0,-1.4566799398946046,0.020339022089292787,1.0812080777184883,1.2400817599999998
62,62.0,60.0,100.0,-1.4301661519054718,-0.004109493260692093,0.9771953631074382,1.102371215
